"","country","year","co2.emissions.per.cap","electric.consumption","total.energy.use","fertility","gdp","internet.users","life.exp","military.exp.perc.gdp","population","hiv.rate"
"1270","Isle of Man",2003,NA,NA,NA,NA,28620,NA,NA,NA,74689.2,NA
"1271","Isle of Man",2004,NA,NA,NA,NA,NA,NA,NA,NA,75377.88,NA
"1272","Isle of Man",2005,NA,NA,NA,NA,NA,NA,NA,NA,76072.91,NA
"1273","Finland",2000,9.99,15285.93,6373.98,1.73,25150,372.28,77.5,1.26,5176198,NA
"1274","Finland",2001,10.88,15687.18,6517.93,1.73,24160,430.86,77.98,1.2,5187996,NA
"1275","Finland",2002,11.74,16129.88,6834.6,1.72,24220,486.29,78.12,1.19,5200597,NA
"1276","Finland",2003,13.01,16427.21,7227.71,1.76,27090,491.08,78.37,1.22,5212996,0.08
"1277","Finland",2004,NA,16779.95,7285.76,1.8,33010,512.61,78.71,1.23,5228143,NA
"1278","Finland",2005,NA,NA,NA,1.8,37530,533.73,78.82,1.21,5246100,0.08
"1279","Lithuania",2000,3.41,2516.63,2086.57,1.39,3020,64.29,71.97,1.66,3499528,NA
"1280","Lithuania",2001,3.57,2687.79,2292.82,1.3,3270,71.81,71.61,1.66,3481295,NA
"1281","Lithuania",2002,3.62,2827.54,2515.35,1.24,3630,144.13,71.76,1.7,3469094,NA
"1282","Lithuania",2003,3.67,3055.09,2629.81,1.26,4330,201.4,71.86,1.62,3454240,0.07
"1283","Lithuania",2004,NA,3145.32,2665.92,1.26,5560,281.76,71.92,1.66,3435585,NA
"1284","Lithuania",2005,NA,NA,NA,1.27,6910,357.83,71.25,1.8,3414300,0.17
"1285","Suriname",2000,4.9,NA,NA,2.68,2070,26.98,68.83,NA,434018,NA
"1286","Suriname",2001,5.17,NA,NA,NA,1770,33.19,NA,NA,437486,NA
"1287","Suriname",2002,5.1,NA,NA,2.6,1900,45.39,69.05,NA,440670,NA
"1288","Suriname",2003,5.04,NA,NA,NA,2060,51.85,NA,NA,443628,1.72
"1289","Suriname",2004,NA,NA,NA,NA,2260,67.2,NA,NA,446460,NA
"1290","Suriname",2005,NA,NA,NA,2.51,2540,71.23,69.71,NA,449238,1.94
"1291","Jamaica",2000,3.98,2320.62,1513.87,2.53,2930,30.9,71.03,0.55,2589389,NA
"1292","Jamaica",2001,4.08,2338.77,1537.17,NA,2940,38.39,NA,0.56,2604789,NA
"1293","Jamaica",2002,3.93,2412.99,1495.32,2.44,2950,229.23,70.69,0.66,2617495,NA
"1294","Jamaica",2003,4.07,2481,1543.12,2.44,3110,304.14,NA,0.66,2630388,1.51
"1295","Jamaica",2004,NA,2454.96,1540.88,2.41,3320,403.86,NA,0.68,2642000,NA
"1296","Jamaica",2005,NA,NA,NA,2.38,3420,NA,70.9,0.71,2654500,1.53
"1297","United Kingdom",2000,9.31,6030.95,3898.85,1.64,25010,264.47,77.74,2.44,59700000,NA
"1298","United Kingdom",2001,9.51,6102.46,3942.35,1.63,25090,332.77,NA,2.43,59500000,NA
"1299","United Kingdom",2002,9.27,6152.71,3853.37,1.64,25720,421.57,77.59,2.45,59300000,NA
"1300","United Kingdom",2003,9.37,6198.31,3898.37,1.71,28450,436.79,78.4,2.7,59600000,0.2
"1301","United Kingdom",2004,NA,6205.6,3905.6,1.77,33890,469.53,78.75,2.77,59800000,NA
"1302","United Kingdom",2005,NA,NA,NA,1.8,37750,473.46,78.95,2.59,60200000,0.2
"1303","Grenada",2000,2.02,NA,NA,3.24,3660,40.56,72.49,NA,101400,NA
"1304","Grenada",2001,2.14,NA,NA,NA,3390,50.67,NA,NA,102632,NA
"1305","Grenada",2002,2.09,NA,NA,3,3340,144.93,72.97,NA,103501,NA
"1306","Grenada",2003,2.1,NA,NA,NA,3790,181.62,NA,NA,104614,NA
"1307","Grenada",2004,NA,NA,NA,NA,3860,NA,NA,NA,105747.5,NA
"1308","Grenada",2005,NA,NA,NA,NA,4120,NA,NA,NA,106500,NA
"1309","Gambia, The",2000,0.21,NA,NA,4.93,320,9.12,54.72,0.79,1315884,NA
"1310","Gambia, The",2001,0.21,NA,NA,NA,310,13.27,NA,0.68,1356635,NA
"1311","Gambia, The",2002,0.2,NA,NA,4.74,270,17.89,55.44,0.61,1397295,NA
"1312","Gambia, The",2003,0.2,NA,NA,NA,270,24.34,NA,0.45,1437697,2.21
"1313","Gambia, The",2004,NA,NA,NA,NA,270,33.16,NA,0.37,1477666,NA
"1314","Gambia, The",2005,NA,NA,NA,4.4,290,NA,56.79,0.34,1517079,2.44
"1315","Slovak Republic",2000,6.57,4955.89,3291.68,1.3,3860,94.09,73.2,1.67,5388741,NA
"1316","Slovak Republic",2001,6.89,5027.42,3455.17,1.2,3860,125.31,73.55,1.87,5378900,NA
"1317","Slovak Republic",2002,6.87,5049.54,3484.23,1.18,4100,160.4,73.65,1.79,5379100,NA
"1318","Slovak Republic",2003,6.98,5015.94,3463.05,1.2,5010,255.74,73.75,1.89,5379650,0.1
"1319","Slovak Republic",2004,NA,5088.2,3406.63,1.24,6570,422.87,73.96,1.69,5382450,NA
"1320","Slovak Republic",2005,NA,NA,NA,1.25,8100,464.08,73.9,1.74,5387000,0.1
"1321","Venezuela, RB",2000,6.69,2654.02,2333.26,2.83,4100,33.73,73.27,1.29,24300000,NA
"1322","Venezuela, RB",2001,6.37,2720.45,2348.31,2.79,4580,46.56,73.43,1.71,24800000,NA
"1323","Venezuela, RB",2002,5.37,2653.17,2290.33,2.76,3970,49.33,73.63,1.29,25200000,NA
"1324","Venezuela, RB",2003,5.61,2664.29,2068.4,2.72,3470,75.37,73.83,1.27,25700000,0.65
"1325","Venezuela, RB",2004,NA,2760.21,2149.42,2.69,4080,84.47,74.02,1.21,26100000,NA
"1326","Venezuela, RB",2005,NA,NA,NA,2.65,4940,124.66,74.22,1.11,26600000,0.72
"1327","Singapore",2000,14.05,7594.64,5537.75,1.44,23000,323.57,78.05,4.67,4017700,NA
"1328","Singapore",2001,13.68,7528.56,5563.52,1.41,21300,411.5,78.35,5.04,4131200,NA
"1329","Singapore",2002,13.3,7764.97,5852.37,1.37,21100,503.44,78.67,5.14,4171300,NA
"1330","Singapore",2003,11.42,7977.16,5201.66,1.25,21800,549.56,NA,5.11,4185200,0.25
"1331","Singapore",2004,NA,8169.94,6034.01,1.24,25000,571.13,79.3,4.7,4240300,NA
"1332","Singapore",2005,NA,NA,NA,1.24,26600,NA,79.7,4.68,4341800,0.3
"1333","Guinea-Bissau",2000,0.19,NA,NA,7.1,160,2.2,44.45,4.42,1365650,NA
"1334","Guinea-Bissau",2001,0.18,NA,NA,NA,140,2.84,NA,3.11,1406179,NA
"1335","Guinea-Bissau",2002,0.19,NA,NA,7.1,130,9.66,44.6,NA,1449039,NA
"1336","Guinea-Bissau",2003,0.18,NA,NA,NA,130,12.72,NA,NA,1493783,3.81
"1337","Guinea-Bissau",2004,NA,NA,NA,NA,160,16.89,NA,NA,1539712,NA
"1338","Guinea-Bissau",2005,NA,NA,NA,7.08,180,19.54,45.12,NA,1586344,3.79
"1339","Botswana",2000,2.33,907.64,1050.17,3.37,3270,14.25,42.69,3.09,1754002,NA
"1340","Botswana",2001,2.22,1145.81,1048.39,NA,3480,28.32,NA,2.99,1765570,NA
"1341","Botswana",2002,2.31,1198.19,1072.27,3.2,3140,33.88,36.55,3.53,1771008,NA
"1342","Botswana",2003,2.32,1257.09,1049.36,NA,3690,33.87,NA,3.61,1771556,24
"1343","Botswana",2004,NA,1325.01,1054.8,NA,4430,33.92,NA,3.26,1769050,NA
"1344","Botswana",2005,NA,NA,NA,3.03,5530,34,34.97,2.45,1764926,24.1
"1345","Faeroe Islands",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1346","Faeroe Islands",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1347","Faeroe Islands",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1348","Faeroe Islands",2003,13.74,NA,NA,NA,NA,583.33,NA,NA,48000,NA
"1349","Faeroe Islands",2004,NA,NA,NA,NA,NA,641.82,NA,NA,48300,NA
"1350","Faeroe Islands",2005,NA,NA,NA,NA,NA,NA,NA,NA,48300,NA
"1351","Kazakhstan",2000,8.14,3080.51,2666.49,1.88,1270,6.72,65.52,0.78,14900000,NA
"1352","Kazakhstan",2001,8.4,3228.15,3065.15,NA,1350,10.1,65.77,1,14900000,NA
"1353","Kazakhstan",2002,10.57,3382.4,3154.65,1.8,1520,16.82,65.97,1,14900000,NA
"1354","Kazakhstan",2003,10.68,3510.03,3346.77,1.78,1800,20.12,65.87,1.03,14900000,0.1
"1355","Kazakhstan",2004,NA,3621.23,3651.47,1.77,2300,26.64,66.06,0.99,1.5e+07,NA
"1356","Kazakhstan",2005,NA,NA,NA,1.75,2940,NA,66.25,1.06,15100000,0.1
"1357","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1358","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1359","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1360","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1361","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1362","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
